time,position,velocity,acceleration
1.000000000000000000e+01,5.045949999999999491e+00,9.189999999996570704e-03,-9.809999999994452324e-02
1.010000000000000142e+01,5.046868999999999161e+00,-6.199999999978466660e-04,-9.810000000003496479e-02
1.020000000000000107e+01,5.046806999999999377e+00,-1.043000000000130802e-02,-9.809999999994616082e-02
1.030000000000000071e+01,5.045763999999999250e+00,-2.023999999999588975e-02,-9.810000000003496479e-02
1.040000000000000036e+01,5.043739999999999668e+00,-3.004999999999935154e-02,-9.810000000002611076e-02
1.050000000000000000e+01,5.040734999999999744e+00,-3.986000000000210208e-02,-9.809999999995322462e-02
1.060000000000000142e+01,5.036748999999999477e+00,-4.966999999999738985e-02,-9.810000000003496479e-02
1.070000000000000107e+01,5.031781999999999755e+00,-5.948000000000085163e-02,-9.810000000003503418e-02
1.080000000000000071e+01,5.025833999999999691e+00,-6.929000000000432036e-02,-9.809999999994607756e-02
1.090000000000000036e+01,5.018904999999999283e+00,-7.909999999999889342e-02,-9.810000000001747877e-02
1.100000000000000000e+01,5.010994999999999422e+00,-8.891000000000078007e-02,-9.809999999996189823e-02
1.110000000000000142e+01,5.002103999999999218e+00,-9.871999999999693520e-02,-9.810000000003503418e-02
1.120000000000000107e+01,4.992231999999999559e+00,-1.085300000000004039e-01,-9.810000000003489540e-02
1.130000000000000071e+01,4.981378999999999557e+00,-1.183400000000038588e-01,-9.809999999994607756e-02
1.140000000000000036e+01,4.969544999999999213e+00,-1.281499999999984318e-01,-9.810000000000873577e-02
1.150000000000000000e+01,4.956729999999999414e+00,-1.379599999999994442e-01,-9.809999999997078002e-02
1.160000000000000142e+01,4.942933999999999273e+00,-1.477699999999964875e-01,-9.810000000003489540e-02
1.170000000000000107e+01,4.928156999999999677e+00,-1.575799999999999423e-01,-9.810000000003489540e-02
1.180000000000000071e+01,4.912398999999999738e+00,-1.673900000000033972e-01,-9.809999999994635511e-02
1.190000000000000036e+01,4.895659999999999457e+00,-1.771999999999979980e-01,-9.809999999999985398e-02
1.200000000000000000e+01,4.877939999999999721e+00,-1.870099999999981222e-01,-9.810000000006820209e-02
1.210000000000000142e+01,4.859238999999999642e+00,-1.968200000000049077e-01,-9.809999999994607756e-02
1.220000000000000107e+01,4.839556999999999221e+00,-2.066299999999994808e-01,-9.810000000003517295e-02
1.230000000000000071e+01,4.818893999999999345e+00,-2.164400000000029634e-01,-9.809999999994607756e-02
1.240000000000000036e+01,4.797249999999999126e+00,-2.262499999999975364e-01,-9.809999999999124976e-02
1.250000000000000000e+01,4.774624999999999453e+00,-2.360599999999968002e-01,-9.810000000007680632e-02
1.260000000000000142e+01,4.751018999999999437e+00,-2.458700000000044461e-01,-9.809999999994607756e-02
1.270000000000000107e+01,4.726431999999999078e+00,-2.556799999999990192e-01,-9.810000000003517295e-02
1.280000000000000071e+01,4.700863999999999265e+00,-2.654900000000025018e-01,-9.809999999994635511e-02
1.290000000000000036e+01,4.674314999999999110e+00,-2.752999999999971026e-01,-9.809999999998236797e-02
1.300000000000000000e+01,4.646784999999999499e+00,-2.851099999999954782e-01,-9.810000000008568810e-02
1.310000000000000142e+01,4.618273999999999546e+00,-2.949200000000040123e-01,-9.809999999994635511e-02
1.320000000000000107e+01,4.588781999999999250e+00,-3.047299999999986131e-01,-9.810000000003461784e-02
1.330000000000000071e+01,4.558308999999999500e+00,-3.145400000000020402e-01,-9.809999999994635511e-02
1.340000000000000036e+01,4.526854999999999407e+00,-3.243499999999966410e-01,-9.809999999997348619e-02
1.350000000000000000e+01,4.494419999999999860e+00,-3.341599999999941284e-01,-9.810000000009456989e-02
1.360000000000000142e+01,4.461003999999999969e+00,-3.439700000000035507e-01,-9.809999999994635511e-02
1.370000000000000107e+01,4.426606999999999736e+00,-3.537799999999981515e-01,-9.810000000003461784e-02
1.380000000000000071e+01,4.391229000000000049e+00,-3.635900000000015786e-01,-9.810000000003517295e-02
1.390000000000000036e+01,4.354870000000000019e+00,-3.734000000000050612e-01,-9.809999999987634167e-02
1.400000000000000000e+01,4.317529999999999646e+00,-3.832099999999928341e-01,-9.810000000010289656e-02
1.410000000000000142e+01,4.279208999999999818e+00,-3.930200000000030891e-01,-9.809999999994635511e-02
1.420000000000000107e+01,4.239906999999999648e+00,-4.028299999999976899e-01,-9.810000000003461784e-02
1.430000000000000071e+01,4.199624000000000024e+00,-4.126400000000011170e-01,-9.810000000003517295e-02
1.440000000000000036e+01,4.158360000000000056e+00,-4.224500000000045996e-01,-9.809999999986745989e-02
1.450000000000000000e+01,4.116114999999999746e+00,-4.322599999999914844e-01,-9.810000000011177834e-02
1.460000000000000142e+01,4.072888999999999982e+00,-4.420700000000026275e-01,-9.809999999999076403e-02
1.470000000000000107e+01,4.028681999999999874e+00,-4.518800000000016692e-01,-9.809999999999076403e-02
1.480000000000000071e+01,3.983493999999999868e+00,-4.616900000000007109e-01,-9.809999999999020892e-02
1.490000000000000036e+01,3.937324999999999964e+00,-4.714999999999996971e-01,-9.809999999994795106e-02
1.500000000000000000e+01,3.890175000000000161e+00,-4.813099999999946310e-01,-9.810000000007569609e-02
1.510000000000000142e+01,3.842044000000000015e+00,-4.911200000000021659e-01,-9.809999999999076403e-02
1.520000000000000107e+01,3.792931999999999970e+00,-5.009300000000012076e-01,-9.809999999999020892e-02
1.530000000000000071e+01,3.742839000000000027e+00,-5.107400000000001938e-01,-9.809999999999131914e-02
1.540000000000000036e+01,3.691765000000000185e+00,-5.205499999999992911e-01,-9.809999999993851416e-02
1.550000000000000000e+01,3.639710000000000445e+00,-5.303599999999932812e-01,-9.810000000008457788e-02
1.560000000000000142e+01,3.586674000000000362e+00,-5.401700000000017043e-01,-9.809999999999131914e-02
1.570000000000000107e+01,3.532657000000000380e+00,-5.499800000000008016e-01,-9.809999999999020892e-02
1.580000000000000071e+01,3.477659000000000500e+00,-5.597899999999997878e-01,-9.810000000003461784e-02
1.590000000000000036e+01,3.421680000000000721e+00,-5.696000000000032149e-01,-9.809999999988633368e-02
1.600000000000000000e+01,3.364720000000000599e+00,-5.794099999999919870e-01,-9.810000000019956923e-02
1.610000000000000142e+01,3.306779000000000579e+00,-5.892200000000117344e-01,-9.809999999977753182e-02
1.619999999999999929e+01,3.247857000000000660e+00,-5.990299999999896263e-01,-9.809999999998736397e-02
1.630000000000000071e+01,3.187954000000000843e+00,-6.088399999999885015e-01,-9.810000000025508038e-02
1.640000000000000213e+01,3.127070000000001126e+00,-6.186500000000138000e-01,-9.809999999976753982e-02
1.650000000000000000e+01,3.065205000000001068e+00,-6.284599999999906927e-01,-9.810000000021733280e-02
1.660000000000000142e+01,3.002359000000001110e+00,-6.382700000000122165e-01,-9.809999999975976825e-02
1.669999999999999929e+01,2.938532000000001254e+00,-6.480799999999883321e-01,-9.810000000003177290e-02
1.680000000000000071e+01,2.873724000000001499e+00,-6.578899999999916481e-01,-9.810000000022732480e-02
